,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
2021-01-30,128437.248512,34246.28,131012.7232,34933.0,123106.88,32825.0,128333.212416,34218.54,43072
2021-01-29,125144.022272,33368.18,144510.03776,38531.9,119695.51616,31915.4,128459.45088,34252.2,231827
2021-01-28,113870.357376,30362.19,126703.438592,33783.98,111919.81184,29842.1,125131.570944,33364.86,92621
2021-01-27,121753.023104,32464.01,122102.860416,32557.29,109668.146688,29241.72,113885.20896,30366.15,95911
2021-01-26,120966.114176,32254.19,123470.218752,32921.88,115652.472448,30837.37,121767.124608,32467.77,84972
2021-01-25,120985.84128,32259.45,130795.2,34875.0,119675.264,31910.0,120966.15168,32254.2,88499
2021-01-24,120305.3312,32078.0,124029.4784,33071.0,115887.36,30900.0,120987.52896,32259.9,57978
2021-01-23,123575.68,32950.0,125473.3824,33456.0,117725.656064,31390.16,120305.3312,32078.0,64595
2021-01-22,115707.303296,30851.99,126863.018112,33826.53,108199.04,28850.0,123557.565568,32945.17,142971
2021-01-21,133020.049792,35468.23,133514.24,35600.0,112778.2784,30071.0,115700.327552,30850.13,131803
2021-01-20,134646.635776,35901.94,136571.978624,36415.31,125263.36,33400.0,133020.049792,35468.23,89368
2021-01-19,137348.873984,36622.46,141952.64,37850.0,134429.562624,35844.06,134607.444096,35891.49,79611
2021-01-18,134358.042496,35824.99,140526.850432,37469.83,130513.92,34800.0,137381.915008,36631.27,70698
2021-01-17,134995.572992,35994.98,138211.616,36852.5,126951.04,33850.0,134371.618944,35828.61,80157
2021-01-16,137780.057472,36737.43,142327.68,37950.0,132605.89312,35357.8,134995.572992,35994.98,86348
2021-01-15,146810.195584,39145.21,149069.999104,39747.76,129043.7632,34408.0,137798.021888,36742.22,118300
2021-01-14,140157.623552,37371.38,150391.04,40100.0,137644.292992,36701.23,146807.5328,39144.5,102950
2021-01-13,127697.93216,34049.15,141952.64,37850.0,121437.952,32380.0,140157.623552,37371.38,124477
2021-01-12,132803.051648,35410.37,137369.6512,36628.0,122004.2624,32531.0,127705.770496,34051.24,133948
2021-01-11,143077.835008,38150.02,143508.080896,38264.74,114087.168,30420.0,132780.924288,35404.47,249131
2021-01-10,150346.860288,40088.22,155079.04,41350.0,131680.706944,35111.11,143077.835008,38150.02,118209
2021-01-09,152217.334784,40586.96,155191.552,41380.0,145215.488,38720.0,150346.860288,40088.22,75785
2021-01-08,147887.572992,39432.48,157329.28,41950.0,136889.6,36500.0,152201.770624,40582.81,139789
2021-01-07,137899.807744,36769.36,151384.896,40365.0,136139.52,36300.0,147886.822912,39432.28,132825
2021-01-06,127324.317312,33949.53,138536.813184,36939.21,124843.3152,33288.0,137899.807744,36769.36,127139
2021-01-05,119974.3584,31989.75,128863.744,34360.0,112136.96,29900.0,127324.317312,33949.53,116049
2021-01-04,123763.38752,33000.05,126013.44,33600.0,105498.752,28130.0,119970.457984,31988.71,140899
2021-01-03,120674.55808,32176.45,130431.823744,34778.11,119873.997696,31962.99,123763.38752,33000.05,120957
2021-01-02,110005.60768,29331.7,124888.32,33300.0,108561.066112,28946.53,120681.608832,32178.33,129993
2021-01-01,108475.181952,28923.63,111011.84,29600.0,107353.587328,28624.57,110005.570176,29331.69,54182
2020-12-31,108294.86272,28875.55,109886.72,29300.0,104448.64,27850.0,108475.181952,28923.63,75508
2020-12-30,102704.704,27385.0,108746.5984,28996.0,102460.928,27320.0,108294.825216,28875.54,95356
2020-12-29,101558.656768,27079.42,102798.464,27410.0,97060.352,25880.0,102704.704,27385.0,69411
2020-12-28,98566.287616,26281.54,103136.0,27500.0,97889.1904,26101.0,101558.619264,27079.41,79721
2020-12-27,99360.84736,26493.4,106593.8688,28422.0,96385.28,25700.0,98566.737664,26281.66,148455
2020-12-26,92681.647488,24712.47,100762.109312,26867.03,91884.8,24500.0,99360.809856,26493.39,97806
2020-12-25,88993.204096,23728.99,92971.890944,24789.86,87885.37344,23433.6,92681.647488,24712.47,79519
2020-12-24,87130.755456,23232.39,89238.630272,23794.43,85146.906368,22703.42,88993.99168,23729.2,69013
2020-12-23,89299.986816,23810.79,90384.64,24100.0,84759.04,22600.0,87132.143104,23232.76,119047
2020-12-22,85208.637952,22719.88,89398.65984,23837.1,83834.19136,22353.4,89299.986816,23810.79,87033
